run_id,outcome_name,event_time,coefficient,standard_error,confidence_interval_lower,confidence_interval_upper,p_value
M07-DID-20260724,paid_pmpm,-12,332.0697,548.9754,-743.9220,1408.0614,0.5453
M07-DID-20260724,paid_pmpm,-11,156.0102,258.4954,-350.6408,662.6612,0.5462
M07-DID-20260724,paid_pmpm,-10,-59.6235,215.5809,-482.1621,362.9152,0.7821
M07-DID-20260724,paid_pmpm,-9,300.3003,254.0905,-197.7172,798.3178,0.2373
M07-DID-20260724,paid_pmpm,-8,249.9225,224.9773,-191.0329,690.8779,0.2666
M07-DID-20260724,paid_pmpm,-7,-50.4868,222.3731,-486.3381,385.3645,0.8204
M07-DID-20260724,paid_pmpm,-6,-95.7946,205.7562,-499.0767,307.4875,0.6415
M07-DID-20260724,paid_pmpm,-5,49.3229,250.4207,-441.5017,540.1475,0.8439
M07-DID-20260724,paid_pmpm,-4,336.1310,232.8970,-120.3471,792.6091,0.1489
M07-DID-20260724,paid_pmpm,-3,474.0657,230.2522,22.7714,925.3601,0.0395
M07-DID-20260724,paid_pmpm,-2,98.2325,238.9896,-370.1870,566.6520,0.6810
M07-DID-20260724,paid_pmpm,0,626.7534,457.8188,-270.5715,1524.0783,0.1710
M07-DID-20260724,paid_pmpm,1,-233.3004,292.4980,-806.5965,339.9956,0.4251
M07-DID-20260724,paid_pmpm,2,578.4735,673.8634,-742.2988,1899.2459,0.3906
M07-DID-20260724,paid_pmpm,3,504.8006,611.1016,-692.9585,1702.5597,0.4088
M07-DID-20260724,paid_pmpm,4,406.6493,619.3401,-807.2573,1620.5559,0.5114
M07-DID-20260724,paid_pmpm,5,-86.3402,265.2992,-606.3266,433.6463,0.7448
M07-DID-20260724,allowed_pmpm,-12,436.7938,664.5380,-865.7008,1739.2883,0.5110
M07-DID-20260724,allowed_pmpm,-11,206.2518,314.4787,-410.1264,822.6301,0.5119
M07-DID-20260724,allowed_pmpm,-10,-31.6822,269.7129,-560.3196,496.9552,0.9065
M07-DID-20260724,allowed_pmpm,-9,380.0321,304.8624,-217.4982,977.5624,0.2126
M07-DID-20260724,allowed_pmpm,-8,310.6921,273.6540,-225.6698,847.0540,0.2562
M07-DID-20260724,allowed_pmpm,-7,-34.8845,265.9780,-556.2013,486.4324,0.8957
M07-DID-20260724,allowed_pmpm,-6,-109.7652,247.1904,-594.2583,374.7280,0.6570
M07-DID-20260724,allowed_pmpm,-5,78.7637,302.6592,-514.4483,671.9758,0.7947
